pl_name,disposition,pl_orbper,pl_tranmid,pl_trandur,pl_rade,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratror,st_rad,st_raderr1,st_raderr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
EPIC 201588420.01,CANDIDATE,3.2908998,2456813.49,0.96,1.57,0.14006602,,,0.01804,0.72,,,219.562,1.382,-1.366,4.52579,0.0282799,-0.0282799
EPIC 201588420.01,CANDIDATE,3.29163,2456813.481,1.2888,1.17,0.104,0.009,-0.021,0.0189,0.567,0.019,-0.031,219.562,1.382,-1.366,4.52579,0.0282799,-0.0282799
EPIC 201595106 b,CONFIRMED,0.87703,2457583.051,1.0008,1.2,0.11,0.0098,-0.009,0.0114,0.990833,0.04382,-0.048447,232.1,2.706,-2.646,4.28034,0.0492937,-0.0492937
EPIC 201596733.01,CANDIDATE,2.896528,2456812.106,1.5984,1.45,0.129,0.026,-0.026,0.0551,0.242,0.045,-0.036,113.012,0.803,-0.793,8.82039,0.0619915,-0.0619915
EPIC 201596733.01,CANDIDATE,2.8964139,2456812.108,1.63,2.45,0.21857436,,,0.04958,0.42,,,113.012,0.803,-0.793,8.82039,0.0619915,-0.0619915
EPIC 201606542.01,CANDIDATE,0.44433632,2456810.638,0.72,1.01,0.09010616,,,0.01068,0.8,,,254.555,2.648,-2.596,3.9,0.0401606,-0.0401606
EPIC 201617985.01,CANDIDATE,7.28131,2456812.64,1.31,1.9,0.16950665,,,0.03172,0.51,,,126.182,0.673,-0.667,7.89647,0.0417663,-0.0417663
EPIC 201617985.01,CANDIDATE,7.28138,2456812.64,1.32,17.0,1.5,1.2,-1.2,0.41,0.399,0.018,-0.018,126.182,0.673,-0.667,7.89647,0.0417663,-0.0417663
EPIC 201617985.01,CANDIDATE,7.28076,2456812.641,1.872,2.6,0.23,0.11,-0.16,0.06,0.399,0.043,-0.008,126.182,0.673,-0.667,7.89647,0.0417663,-0.0417663
EPIC 201619647.01,CANDIDATE,4.58328,2456813.603,2.208,2.21,0.197,0.024,-0.034,0.0372,0.545,0.054,-0.056,203.223,2.1115,-2.1115,4.8925,0.0507411,-0.0507411
EPIC 201619647.02,CANDIDATE,1.65336,2456810.847,1.608,1.51,0.135,0.02,-0.032,0.0254,0.545,0.054,-0.056,203.223,2.1115,-2.1115,4.8925,0.0507411,-0.0507411
EPIC 201626686.01,CANDIDATE,5.28081,2456812.354,3.26904,10.9,0.97,0.11,-0.11,0.0328,3.01,0.29,-0.29,649.935,24.071,-22.441,1.51042,0.0546182,-0.0546182
EPIC 201639576.01,CANDIDATE,7.655533,2457910.084,3.0,2.328,0.20769061,0.01748598,-0.01650462,0.0284,0.751,0.055,-0.05,495.707,12.129,-11.572,1.98921,0.0478476,-0.0478476
EPIC 201649426.01,FALSE POSITIVE,27.770388,2456821.348,3.14,25.1,2.23927201,,,0.3722,0.71,,,252.383,1.704,-1.682,3.93349,0.0263807,-0.0263807
EPIC 201650711.02,CANDIDATE,5.54583,2456814.894,2.088,0.441,0.0393,0.0061,-0.00946,0.0119,0.34,0.041,-0.047,,,,,,
EPIC 201654498.01,CANDIDATE,18.4502,2456816.961,3.72,2.52,0.225,0.052,-0.227,0.0322,0.717,0.055,-0.029,340.433,4.698,-4.574,2.90906,0.039696,-0.039696
EPIC 201666578.01,CANDIDATE,4.1333,2456813.133,1.704,1.2,0.11,0.028,-0.118,0.0352,0.312,0.058,-0.059,114.675,0.773,-0.763,8.69196,0.0579848,-0.0579848
EPIC 201683540.01,CANDIDATE,1.9611469,2456812.176,1.33,5.93,0.52903916,,,0.08768,0.64,,,592.204,16.487,-15.632,1.66026,0.0454336,-0.0454336
EPIC 201683540.01,CANDIDATE,1.961336911,2459526.447,1.632367,15.86577929,1.41545246,3.42269186,-3.42269186,,1.06738,,,592.204,16.487,-15.632,1.66026,0.0454336,-0.0454336
EPIC 201702477.01,CANDIDATE,40.7302,2456811.569,2.6496,7.8,0.7,0.12,-0.12,0.0719,0.98,0.17,-0.17,835.716,28.526,-26.737,1.16754,0.0392709,-0.0392709
EPIC 201717159.01,CANDIDATE,0.60408352,2456810.836,0.97,2.26,0.2016237,,,0.02829,0.67,,,370.696,11.7595,-11.7595,2.67169,0.0848448,-0.0848448
EPIC 201717274.01,CANDIDATE,3.52743,2456809.909,1.3296,1.11,0.099,0.03,-0.03,0.0389,0.257,0.07,-0.07,124.872,1.038,-1.022,7.98012,0.0655589,-0.0655589
EPIC 201717274.01,CANDIDATE,3.52725,2456813.441,1.68,1.21,0.108,0.03,-0.046,0.043,0.257,0.067,-0.073,124.872,1.038,-1.022,7.98012,0.0655589,-0.0655589
EPIC 201717274.01,CANDIDATE,3.5269024,2456813.441,1.57,2.98,0.26585779,,,0.04037,0.67,,,124.872,1.038,-1.022,7.98012,0.0655589,-0.0655589
EPIC 201729655.01,CANDIDATE,9.321691,2457914.02,3.6,17.325,1.54563563,0.32723761,-0.23900478,0.234,0.678,0.136,-0.098,,,,,,
EPIC 201732557.01,CANDIDATE,6.662,2456814.082,3.072,1.59,0.142,0.033,-0.083,0.0302,0.483,0.094,-0.116,242.573,5.4475,-5.4475,4.09632,0.0918275,-0.0918275
EPIC 201779067.01,FALSE POSITIVE,27.242808,2456820.26,6.5664,93.0,8.3,1.7,-4.3,0.336,2.54,0.12,-0.15,499.583,13.462,-12.786,1.97368,0.0521669,-0.0521669
EPIC 201779067.01,FALSE POSITIVE,27.242912,2456820.26,6.56,18.8,1.67722366,,,0.2367,0.9,,,499.583,13.462,-12.786,1.97368,0.0521669,-0.0521669
EPIC 201785059.01,CANDIDATE,1.3951513,2456811.598,1.15,0.879,0.07841913,,,0.02341,0.32,,,87.9605,0.4121,-0.4084,11.3402,0.052627,-0.052627
EPIC 201785059.01,CANDIDATE,1.395336,2456811.595,1.2312,0.76,0.068,0.013,-0.021,0.0248,0.28,0.053,-0.08,87.9605,0.4121,-0.4084,11.3402,0.052627,-0.052627
EPIC 201793642.01,CANDIDATE,15.3791,2456817.085,2.28,1.89,0.169,0.047,-0.155,0.0516,0.336,0.077,-0.06,232.354,3.178,-3.178,4.2759,0.0584125,-0.0584125
EPIC 201828749.01,CANDIDATE,33.5116,2456813.152,5.352,2.89,0.258,0.037,-0.034,0.0302,0.875,0.083,-0.067,212.292,1.988,-1.952,4.68209,0.043385,-0.043385
