toi,tfopwg_disp,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad
1031.01,FP,-23.901,0.042,-0.042,3.03,0.047,-0.047,2459304.838,5.652623,3.434,0.475,-0.475,1250.0,26.0133,-26.0133,8.94354,2717.06,2011.0,9.7318,0.006,-0.006,270.771,1.6275,-1.6275,6415.4,103.2,-103.2,3.98,1.92
1032.01,PC,-15.15,0.072,-0.072,6.437,0.087,-0.087,2459283.829,5.6643704,3.8087395,0.0887935,-0.0887935,3491.823297,95.25267,-95.25267,14.7738943,7657.662151,2385.853649,9.7611,0.006,-0.006,587.196,18.7865,-18.7865,10395.0,320.6,-320.6,4.13,2.3383701
1033.01,FP,8.9,3.1,-3.1,20.7,2.2,-2.2,2460195.101,29.0160175,5.345,0.314,-0.314,1389.0,36.0326,-36.0326,6.77406,33.2234,,10.0163,0.006,-0.006,219.94,,,6113.1,,,,2.01
1034.01,FP,-4.837,0.063,-0.063,4.109,0.062,-0.062,2460768.617,3.6404389,2.5339234,0.5744699,-0.5744699,476.3077321,35.1115139,-35.1115139,3.7025342,9941.226551,2783.098027,9.8174,0.006,-0.006,363.44,4.983,-4.983,9810.0,173.7,-173.7,4.43,1.60776
1035.01,PC,-9.506,0.239,-0.239,16.897,0.207,-0.207,2459286.873,6.0744477,2.4954821,0.0518881,-0.0518881,5982.521241,93.93912,-93.93912,30.9493217,1487.564434,1583.93989,10.1126,0.006,-0.006,347.556,13.63,-13.63,5964.0,128.4,-128.4,3.7,2.4303801
1036.01,PC,10.992,0.037,-0.037,-57.748,0.049,-0.049,2460037.172,3.7795212,2.952,0.158,-0.158,2761.0,60.2474,-60.2474,5.98375,466.528,1294.0,10.2855,0.006,-0.006,184.015,0.962,-0.962,5771.0,132.3,-132.3,4.31,1.18
1037.01,FP,-19.687,0.07,-0.07,10.953,0.068,-0.068,2459331.125,1.2025238,1.991,0.052,-0.052,390.0,107.57,-107.57,6.31106,208477.0,5952.0,9.0211,0.006,-0.006,279.698,3.279,-3.279,9158.0,171.4,-171.4,4.32,1.74
1038.01,FP,-15.5,1.6,-1.6,7.0,1.5,-1.5,2459273.372,3.2235985,2.159,0.452,-0.452,680.0,1.13,-1.13,5.51341,2064.8,,8.7157,0.006,-0.006,280.765,,,8904.0,239.9,-239.9,4.09,2.17
1039.01,APC,-6.434,0.215,-0.215,4.098,0.246,-0.246,2460031.217,4.420125,3.956,1.259,-1.259,2466.0,196.3,-196.3,,,,8.5483,0.6,-0.6,2864.34,1012.54,-1012.54,,,,,
104.01,KP,10.552,0.045,-0.045,-10.658,0.043,-0.043,2460150.609,4.0872956,5.586113,0.0508755,-0.0508755,3572.17125,35.689426,-35.689426,13.6237732,2242.36054,1755.076738,9.8638,0.006,-0.006,316.678,2.9655,-2.9655,6036.0,,,3.93359,2.2186699
1040.01,FP,-11.78,0.118,-0.118,6.725,0.097,-0.097,2458520.657,2.55555,1.566,0.375,-0.375,340.0,1.37224,-1.37224,11.5901,3520.68,2145.0,8.3854,0.007,-0.007,732.432,32.449,-32.449,10037.0,123.0,-123.0,,6.04
1041.01,FP,-14.189,0.065,-0.065,14.261,0.058,-0.058,2459261.801,8.30792,3.228,0.089,-0.089,8350.0,160.238,-160.238,43.1068,2276.25,1924.0,8.0981,0.006,-0.006,305.034,2.981,-2.981,9081.0,173.2,-173.2,3.83,3.05
1042.01,PC,-11.595,0.056,-0.056,3.139,0.057,-0.057,2459281.338,0.758082,1.8184632,0.1306038,-0.1306038,583.93181,58.10249,-58.10249,10.1273702,216218.1005,5499.747633,9.718,0.006,-0.006,792.633,19.4965,-19.4965,9917.0,199.6,-199.6,3.75,3.5086601
1043.01,FP,-9.496,0.051,-0.051,14.659,0.045,-0.045,2459985.77,1.4415577,2.349,0.682,-0.682,507.0,54.9645,-54.9645,3.61078,16861.8,3174.0,9.5719,0.006,-0.006,208.055,1.1015,-1.1015,6902.0,135.7,-135.7,4.25,1.52
1044.01,PC,-14.441,0.073,-0.073,6.214,0.069,-0.069,2460037.195,1.0085089,1.642,0.343,-0.343,3051.0,688.931,-688.931,,,,10.0031,0.006,-0.006,494.689,9.557,-9.557,5215.2,1166.8,-1166.8,,
1045.01,FP,-34.609,0.053,-0.053,14.667,0.057,-0.057,2459301.544,3.7039994,4.277,0.599,-0.599,7590.0,1.22092,-1.22092,17.57,3546.13,2149.0,9.6306,0.006,-0.006,300.696,3.3695,-3.3695,7013.8,299.6,-299.6,4.21,1.9
1046.01,FP,-1.536,0.058,-0.058,-9.979,0.048,-0.048,2460177.867,1.3042553,1.706,0.213,-0.213,914.0,628.954,-628.954,9.36472,26944.7,3569.0,10.0119,0.006,-0.006,301.298,2.496,-2.496,6762.0,130.2,-130.2,4.11,1.75
1047.01,FP,-35.412,0.104,-0.104,24.084,0.128,-0.128,2458544.791,0.62627,0.666,0.169,-0.169,1880.0,68.5212,-68.5212,5.72162,3235.57,2101.0,10.2355,0.006,-0.006,134.926,1.0555,-1.0555,5622.0,131.2,-131.2,4.5,0.93
1048.01,FP,-10.863,0.096,-0.096,7.063,0.089,-0.089,2458518.376,0.30412,0.748,0.1,-0.1,1330.0,3.83107,-3.83107,10.417,280833.0,6413.0,8.802,0.006,-0.006,440.426,9.484,-9.484,11892.0,235.8,-235.8,4.14,2.52
1049.01,KP,-8.568,0.1,-0.1,-5.562,0.055,-0.055,2459363.821,2.1805277,2.969175,0.040721,-0.040721,16340.13532,426.89557,-426.89557,16.808853,1770.465054,1654.404068,11.0657,0.006,-0.006,314.995,7.0655,-7.0655,6599.0,200.0,-200.0,4.21017,1.2714601
105.01,KP,91.976,0.052,-0.052,-6.861,0.069,-0.069,2459084.585,2.1846669,2.86528,0.0090748,-0.0090748,11708.02285,34.928566,-34.928566,13.7028527,1362.138143,1549.44098,9.4995,0.006,-0.006,137.544,0.7905,-0.7905,5630.0,,,4.37759,1.23824
1050.01,KP,-8.1,0.102,-0.102,-9.639,0.055,-0.055,2459355.546,3.7354838,4.142,0.045,-0.045,17030.0,0.271732,-0.271732,21.2315,1292.19,1670.0,11.0261,0.006,-0.006,405.908,8.6,-8.6,6650.0,,,4.1639,1.57
