kepid,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig
10666592,CONFIRMED,2.204735417,121.3585417,2454954.359,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6670.0,1.7,-1.7,0.075522,0.000298,-0.00035,0.37936,0.02846,-0.02633,16.1,0.81,-0.91,0.0376,87.21,2048.0,4148.92,651.59,-654.46,4.602,0.345,-0.345,0.3168,0.2958,232.27,3862.1846,5945.9,1,611.0,0.0,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,0.099,-0.11,1.449,0.07,-0.091,
6922244,CONFIRMED,3.522498429,121.1194228,2454954.119,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9150.0,6.6,-6.6,0.092086,0.000141,-0.000177,0.65374,0.01481,-0.01458,14.59,1.11,-1.11,0.0473,85.2,1521.0,1264.67,307.23,-276.48,7.541,0.171,-0.171,0.305,0.3201,130.83832,1725.5824,1741.5,1,384.0,0.6662,6225.0,112.0,-137.0,4.169,0.055,-0.045,1.451,0.11,-0.11,1.132,0.108,-0.078,0.0
10984090,CONFIRMED,3.709214104,133.98318,2454966.983,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.0,3.0,-3.0,0.010424,0.000318,-0.000147,1.77451,0.06493,-0.57483,1.16,0.17,-0.12,0.0465,89.73,1206.0,500.46,197.96,-130.54,10.888,0.398,-0.398,0.2622,0.4035,4.8657312,41.28873,50.6,2,352.0,0.605,5833.0,105.0,-117.0,4.407,0.085,-0.114,1.022,0.143,-0.107,0.974,0.066,-0.066,0.009
10419211,FALSE POSITIVE,11.52144606,170.839688,2455003.84,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,18000.0,31.9,-31.9,1.625358,2.85,-0.663,1.27376,2.30242,-0.41065,150.51,39.8,-13.3,0.0978,83.13,753.0,75.88,58.89,-19.99,20.75,9.4,-9.4,0.2711,0.3858,92.901566,628.3708,622.1,1,96.0,0.154,5795.0,155.0,-172.0,4.554,0.033,-0.176,0.848,0.224,-0.075,0.938,0.098,-0.109,0.895
10464078,FALSE POSITIVE,19.40393776,172.484253,2455005.484,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8920.0,53.3,-53.3,0.096729,0.000533,-0.000532,0.03785,0.00107,-0.00172,7.18,0.76,-0.68,0.123,84.93,523.0,17.69,6.66,-4.88,9.099,0.257,-0.257,0.1908,0.5172,49.468765,320.90817,214.7,1,71.0,0.806,5043.0,151.0,-151.0,4.591,0.072,-0.048,0.68,0.072,-0.065,0.657,0.085,-0.036,0.048
10480982,FALSE POSITIVE,19.22138894,184.5521637,2455017.552,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74300.0,21.9,-21.9,0.476633,0.0245,-0.0277,1.57359,0.00657,-0.02917,49.29,16.0,-5.0,0.1417,88.05,698.0,55.97,54.55,-16.4,31.323,0.131,-0.131,0.2916,0.3447,387.658,2174.4263,2317.0,2,55.0,0.0003,6117.0,182.0,-200.0,4.496,0.052,-0.208,0.947,0.308,-0.096,1.025,0.139,-0.139,0.0
10485250,FALSE POSITIVE,16.46983774,180.881761,2455013.882,0.292,0.118,-0.101,9.4378,0.06,-0.06,10500.0,39.9,-39.9,0.092509,0.000598,-0.00111,0.19353,0.02009,-0.01907,7.94,0.89,-0.89,0.1147,88.81,595.0,29.61,12.01,-8.91,14.05,1.5,-1.5,0.2075,0.49,43.1625,258.8247,303.4,1,66.0,0.0112,5152.0,168.0,-153.0,4.517,0.088,-0.072,0.786,0.088,-0.088,0.741,0.106,-0.057,0.0
10526549,CONFIRMED,9.27358173,173.258155,2455006.258,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1290.0,16.8,-16.8,0.032563,0.00306,-0.00063,1.93557,0.52971,-0.14046,2.47,0.2,-0.24,0.0759,88.93,649.0,41.85,12.49,-11.7,20.65,5.6,-5.6,0.1263,0.6019,9.616924,71.48005,87.2,1,144.0,0.0504,4856.0,131.0,-146.0,4.583,0.065,-0.035,0.696,0.056,-0.068,0.676,0.088,-0.047,0.037
10583066,CONFIRMED,6.02930329,171.602959,2455004.603,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1910.0,34.4,-34.4,0.038838,0.00102,-0.0012,13.09803,1.84066,-3.66782,2.85,0.26,-0.15,0.0585,89.5,678.0,50.04,16.4,-9.88,29.31,4.1,-4.1,0.0628,0.6908,6.876831,52.36939,65.4,1,215.0,1.0,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.672,0.062,-0.036,0.761,0.033,-0.067,0.77
10583180,FALSE POSITIVE,2.696370652,170.73769,2455003.738,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,398.0,9.5,-9.5,0.017673,0.000551,-0.000311,0.51471,0.01428,-0.14593,1.58,0.13,-0.16,0.0349,89.56,1066.0,305.34,96.64,-86.33,5.827,0.162,-0.162,0.1496,0.5746,5.508401,34.570904,48.2,1,501.0,0.0505,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.819,0.067,-0.082,0.781,0.078,-0.056,0.0
10601284,CONFIRMED,5.349553819,171.80694,2455004.807,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,0.025706,0.000845,-0.000453,1.73782,0.00625,-0.73875,2.55,0.16,-0.24,0.0563,89.62,919.0,168.99,34.66,-38.48,13.8015,0.0496,-0.0496,0.186,0.5256,6.0370364,48.504196,60.6,3,247.0,0.7722,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,0.831,0.058,-0.032,0.002
10601284,CONFIRMED,3.94105221,136.08662,2454969.087,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.0,13.9,-13.9,0.017105,0.000703,-0.000557,1.85636,0.37935,-0.52982,1.7,0.11,-0.16,0.046,88.88,1018.0,253.15,51.91,-57.65,11.51,2.4,-2.4,0.186,0.5256,4.5118856,22.749151,28.9,3,322.0,0.923,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,0.831,0.058,-0.032,0.464
10601284,CONFIRMED,8.10904807,132.8031,2454965.803,0.025,0.425,-0.025,3.596,0.198,-0.198,217.0,16.8,-16.8,0.013127,0.00087,-0.000503,1.5302,0.23293,-0.63643,1.3,0.09,-0.12,0.0743,89.92,800.0,97.03,19.9,-22.09,17.46,2.7,-2.7,0.186,0.5256,4.434382,9.776852,14.1,3,141.0,0.7742,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.91,0.057,-0.086,0.831,0.058,-0.032,0.013
2306756,FALSE POSITIVE,386.6030528,166.342079,2454999.342,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24900.0,45.8,-45.8,0.240528,0.0353,-0.0198,4.63335,0.31031,-0.12558,41.5,1.68,-1.68,1.0719,89.95,297.0,1.84,0.26,-0.24,332.0,22.2,-22.2,0.2251,0.4707,,,994.0,1,,,5543.0,79.0,-79.0,4.081,0.014,-0.014,1.58,0.064,-0.064,1.103,0.097,-0.097,0.002
