kepid,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig
6774880,CONFIRMED,34.3511339,134.19046,2454967.19,0.88,0.029,-0.643,4.4408,0.0987,-0.0987,599.0,23.8,-23.8,0.026053,0.00108,-0.0036,0.48802,3.22324,-0.20138,2.75,0.93,-0.29,0.2101,88.39,576.0,26.1,25.87,-7.92,31.2,14.7,-14.7,0.2889,0.3511,6.970502,24.68519,28.8,1,37.0,0.2771,6091.0,169.0,-211.0,4.487,0.054,-0.216,0.967,0.325,-0.101,1.045,0.14,-0.14,0.438
3937519,CONFIRMED,3.413036353,132.443054,2454965.443,0.046,0.117,-0.046,2.61366,0.00578,-0.00578,3870.0,8.9,-8.9,0.055812,0.000216,-8.9e-05,1.90183,0.01064,-0.08982,6.62,1.37,-1.12,0.0427,89.75,1200.0,490.24,266.14,-169.63,10.5406,0.059,-0.059,0.224,0.4695,32.43251,455.0805,480.7,2,398.0,0.5661,5392.0,80.0,-72.0,4.314,0.165,-0.15,1.087,0.224,-0.184,0.888,0.061,-0.035,0.02
7449541,CONFIRMED,3.00725068,131.90484,2454964.905,0.897,0.044,-0.633,4.4302,0.0837,-0.0837,286.0,10.9,-10.9,0.018345,0.000191,-0.00269,0.03994,0.28324,-0.01709,1.56,0.34,-0.12,0.0388,70.4,1122.0,373.99,248.39,-88.89,2.67,1.3,-1.3,0.2787,0.3728,3.4554873,23.920347,30.0,1,455.0,0.3193,5667.0,169.0,-152.0,4.587,0.038,-0.142,0.781,0.169,-0.061,0.873,0.088,-0.107,0.075
5080636,CONFIRMED,4.194496867,134.13511,2454967.135,0.863,0.005,-0.625,1.7807,0.0343,-0.0343,661.0,17.1,-17.1,0.027522,0.000575,-0.00402,1.09947,5.94091,-0.03999,1.57,0.09,-0.12,0.0419,85.09,577.0,26.2,5.71,-5.91,10.07,4.9,-4.9,0.163,0.5825,5.51606,40.03304,45.0,2,245.0,0.8941,3706.0,73.0,-92.0,4.747,0.033,-0.033,0.522,0.032,-0.039,0.555,0.027,-0.044,0.799
5080636,CANDIDATE,6.35585682,137.49837,2454970.498,0.912,0.051,-0.667,1.55,0.184,-0.184,177.0,23.5,-23.5,0.015018,0.00288,-0.0032,1.28201,18.4381,-0.96089,0.86,0.05,-0.07,0.0552,86.26,503.0,15.1,3.28,-3.41,13.99,6.9,-6.9,0.163,0.5825,3.693264,9.861219,9.2,2,154.0,0.9794,3706.0,73.0,-92.0,4.747,0.033,-0.033,0.522,0.032,-0.039,0.555,0.027,-0.044,0.02
3338885,CONFIRMED,1.970340203,131.948389,2454964.948,0.859,0.033,-0.606,1.7901,0.0341,-0.0341,403.0,8.5,-8.5,0.021783,0.000904,-0.00339,0.51893,2.37777,-0.15737,3.97,2.57,-2.34,0.0303,79.56,1599.0,1540.07,3171.86,-1307.7,4.74,2.2,-2.2,0.1396,0.5988,4.657093,44.915237,56.3,2,675.0,0.8567,4883.0,146.0,-132.0,3.972,0.57,-0.38,1.667,1.082,-0.983,0.951,0.198,-0.144,0.395
3338885,CONFIRMED,5.05821338,135.702454,2454968.702,1.004,0.042,-0.696,1.132,0.112,-0.112,748.0,23.7,-23.7,0.058714,0.00616,-0.0248,1.13328,57.87374,-0.61849,10.69,6.94,-6.3,0.0567,85.01,1168.0,439.8,905.81,-373.44,11.53,5.7,-5.7,0.1396,0.5988,5.601307,30.207308,43.2,2,237.0,0.9388,4883.0,146.0,-132.0,3.972,0.57,-0.38,1.667,1.082,-0.983,0.951,0.198,-0.144,0.423
6776401,CONFIRMED,26.85323647,143.31303,2454976.313,0.01,0.424,-0.01,4.4557,0.0624,-0.0624,966.0,20.9,-20.9,0.027896,0.000912,-0.000412,2.78077,0.03809,-0.95352,2.65,0.47,-0.39,0.162,89.99,544.0,20.77,11.67,-7.36,47.326,0.648,-0.648,0.2043,0.4966,9.713177,43.310688,53.3,1,51.0,0.1707,5329.0,159.0,-159.0,4.455,0.117,-0.143,0.869,0.155,-0.127,0.786,0.113,-0.061,0.244
10130039,CONFIRMED,25.0985083,145.56829,2454978.568,0.814,0.11,-0.574,2.7727,0.0936,-0.0936,168.0,8.3,-8.3,0.013257,0.00164,-0.00143,2.1809,7.36365,-1.708,1.59,0.24,-0.23,0.1654,88.88,656.0,43.84,18.99,-14.03,41.7,20.1,-20.1,0.2622,0.4035,5.5788984,19.200647,21.3,3,50.0,0.4436,5782.0,104.0,-115.0,4.34,0.126,-0.103,1.095,0.17,-0.155,0.957,0.079,-0.057,0.402
8226050,CONFIRMED,34.2685741,147.05143,2454980.051,0.677,0.217,-0.455,4.8251,0.0848,-0.0848,699.0,19.4,-19.4,0.02559,0.00339,-0.00181,1.17744,1.42155,-0.88728,2.44,0.11,-0.2,0.193,89.07,477.0,12.2,2.1,-2.54,41.8,16.8,-16.8,0.1451,0.582,7.297534,27.756182,38.2,2,37.0,0.6111,5083.0,83.0,-76.0,4.468,0.088,-0.033,0.872,0.042,-0.072,0.815,0.053,-0.028,0.247
9965957,CONFIRMED,5.75321539,136.75617,2454969.756,0.921,0.017,-0.666,1.7948,0.048,-0.048,734.0,28.1,-28.1,0.03095,1.4e-05,-0.00622,0.84337,11.61531,-0.20556,3.14,0.77,-0.26,0.0633,85.36,920.0,169.44,130.41,-43.04,11.38,5.6,-5.6,0.2111,0.4955,5.088588,30.750694,31.8,1,186.0,0.2449,5445.0,180.0,-164.0,4.51,0.033,-0.176,0.929,0.229,-0.076,1.017,0.074,-0.101,0.006
9704384,CONFIRMED,5.50860699,132.2983,2454965.298,0.879,0.057,-0.601,3.0788,0.0586,-0.0586,204.0,6.3,-6.3,0.015422,0.00111,-0.00244,0.21388,1.33666,-0.12638,1.49,0.15,-0.12,0.0585,82.78,934.0,179.62,57.44,-38.13,7.0,3.4,-3.4,0.2327,0.4526,5.672402,35.991123,38.2,1,241.0,0.7832,5448.0,109.0,-109.0,4.489,0.063,-0.084,0.883,0.092,-0.067,0.877,0.055,-0.05,0.085
8426567,CONFIRMED,18.93055119,143.25058,2454976.251,0.583,0.369,-0.37,3.372,0.102,-0.102,684.0,29.4,-29.4,0.024576,0.0085,-0.0013,2.48982,1.77352,-2.13001,4.41,2.25,-2.25,0.137,89.07,766.0,81.42,129.57,-64.05,36.1,12.9,-12.9,0.1466,0.5849,7.3504725,29.305529,26.2,1,69.0,0.8511,5015.0,164.0,-149.0,3.987,0.602,-0.258,1.643,0.837,-0.837,0.955,0.174,-0.127,0.031
12508335,FALSE POSITIVE,42.94386258,155.206515,2454988.207,1.285,11.9,-0.177,3.7591,0.0208,-0.0208,9210.0,40.3,-40.3,0.405464,11.9,-0.16,1.25537,23.9118,-0.0938,41.62,11.1,-7.39,0.2238,88.52,520.0,17.26,13.88,-6.8,49.6,24.2,-24.2,0.2865,0.3556,64.62452,278.8515,273.0,1,33.0,0.9685,5750.0,173.0,-155.0,4.4,0.158,-0.193,0.94,0.25,-0.167,0.808,0.114,-0.061,0.0
10094670,CONFIRMED,22.06402,148.9199,2454981.92,0.941,0.031,-0.672,4.1,0.128,-0.128,389.0,14.1,-14.1,0.022444,0.000314,-0.00403,0.17456,3.35731,-0.15276,2.67,0.91,-0.28,0.1624,86.73,712.0,60.81,60.93,-18.67,16.5,8.1,-8.1,0.3024,0.3288,6.3318763,27.015203,31.5,1,47.0,0.245,6232.0,173.0,-217.0,4.432,0.054,-0.229,1.09,0.37,-0.116,1.174,0.158,-0.158,0.913
8142942,CONFIRMED,5.756245244,133.903421,2454966.903,0.888,0.037,-0.628,1.071,0.0321,-0.0321,624.0,17.5,-17.5,0.027905,0.000169,-0.00464,5.4985,39.5287,-2.39052,2.24,0.14,-0.09,0.0582,87.61,773.0,84.16,19.19,-12.71,21.3,10.2,-10.2,0.153,0.5684,6.6662774,41.952225,45.5,1,235.0,0.5736,4931.0,98.0,-98.0,4.605,0.018,-0.049,0.734,0.048,-0.03,0.794,0.035,-0.05,0.079
8257205,CONFIRMED,148.4601819,151.38686,2454984.387,0.808,0.113,-0.575,5.499,0.139,-0.139,1530.0,47.5,-47.5,0.040286,0.00538,-0.00466,2.11411,6.29906,-1.50289,3.61,0.24,-0.17,0.5238,89.66,285.0,1.56,0.33,-0.23,135.1,67.1,-67.1,0.186,0.5256,10.977376,27.866648,33.7,2,9.0,0.0704,5159.0,82.0,-82.0,4.548,0.032,-0.063,0.821,0.055,-0.039,0.868,0.035,-0.049,0.712
9044228,CONFIRMED,0.934885365,131.580676,2454964.581,0.731,0.159,-0.487,1.4083,0.0277,-0.0277,270.0,5.7,-5.7,0.01638,0.00176,-0.00159,1.07711,1.69432,-0.01916,3.21,1.91,-1.91,0.0184,78.54,2080.0,4435.29,8252.09,-3775.76,3.68,1.4,-1.4,0.098,0.6538,4.7595024,45.290287,57.8,1,1432.0,0.5954,4777.0,143.0,-119.0,3.909,0.707,-0.353,1.795,1.067,-1.067,0.953,0.187,-0.168,0.158
7265298,CONFIRMED,25.7626846,147.6963,2454980.696,0.327,0.124,-0.327,6.908,0.118,-0.118,620.0,17.1,-17.1,0.022795,0.000463,-0.000707,0.60038,0.15366,-0.10608,2.66,0.43,-0.27,0.1709,89.32,633.0,37.99,16.22,-9.03,27.62,7.1,-7.1,0.2602,0.4096,7.1706915,33.93693,38.0,2,47.0,0.8467,5739.0,78.0,-86.0,4.381,0.095,-0.116,1.069,0.174,-0.107,1.002,0.068,-0.056,0.695
7265298,CONFIRMED,11.0317836,362.3431,2455195.343,0.405,0.045,-0.405,4.753,0.42,-0.42,182.0,14.9,-14.9,0.012457,0.000281,-0.00104,0.69388,0.19368,-0.34764,1.45,0.24,-0.14,0.0971,88.59,840.0,117.67,50.25,-27.96,16.47,4.6,-4.6,0.2602,0.4096,4.2159834,13.435833,14.1,2,105.0,0.2099,5739.0,78.0,-86.0,4.381,0.095,-0.116,1.069,0.174,-0.107,1.002,0.068,-0.056,0.002
7132798,CONFIRMED,4.12511935,133.64014,2454966.64,0.253,0.195,-0.253,2.877,0.103,-0.103,115.0,5.9,-5.9,0.00976,0.000351,-0.000407,1.37114,0.27103,-0.40428,0.88,0.19,-0.08,0.049,88.65,1016.0,252.18,159.33,-67.19,10.72,2.1,-2.1,0.2396,0.4415,4.203215,16.764023,21.6,2,298.0,0.8036,5598.0,149.0,-166.0,4.565,0.036,-0.144,0.83,0.176,-0.075,0.928,0.083,-0.111,0.0
3248501,CANDIDATE,4.22464216,133.09108,2454966.091,0.913,0.057,-0.683,1.403,0.259,-0.259,987.0,195.0,-195.0,0.03465,0.0344,-0.00616,1.49538,42.99605,-1.3575,4.31,1.43,-0.47,0.0546,85.33,1279.0,631.55,615.29,-203.32,11.22,5.6,-5.6,0.3024,0.3288,4.175575,27.598013,7.7,1,248.0,0.6272,6343.0,177.0,-243.0,4.408,0.054,-0.216,1.14,0.376,-0.125,1.213,0.168,-0.168,0.305
2307415,CONFIRMED,13.12162167,133.39526,2454966.395,0.807,0.019,-0.567,3.6138,0.0844,-0.0844,197.0,6.6,-6.6,0.014262,0.00187,-0.00135,0.54754,1.71372,-0.44671,1.99,0.36,-0.29,0.1123,87.29,913.0,164.48,83.49,-55.05,17.08,7.6,-7.6,0.3029,0.3239,5.364537,27.209827,32.7,2,97.0,0.6773,6140.0,123.0,-135.0,4.265,0.125,-0.125,1.277,0.23,-0.188,1.094,0.103,-0.075,0.006
7430034,CONFIRMED,49.6220669,137.10149,2454970.101,0.939,0.007,-0.662,7.222,0.264,-0.264,506.0,11.6,-11.6,0.025794,8.9e-05,-0.00445,0.07822,1.27159,-0.01549,3.33,0.55,-0.34,0.2726,87.52,546.0,20.99,8.78,-5.06,21.7,10.7,-10.7,0.2826,0.3729,11.796135,38.522243,47.6,1,28.0,0.4971,5938.0,71.0,-83.0,4.331,0.095,-0.116,1.184,0.193,-0.123,1.097,0.073,-0.066,0.0
9735426,CONFIRMED,8.08801663,138.73516,2454971.735,0.744,0.105,-0.518,1.8334,0.0396,-0.0396,953.0,23.6,-23.6,0.030765,0.00264,-0.00287,4.02971,7.6931,-1.91284,2.94,0.24,-0.2,0.0753,88.23,792.0,92.93,23.05,-16.51,24.1,11.5,-11.5,0.1914,0.5167,7.423082,39.4025,46.1,1,168.0,0.6206,5269.0,84.0,-73.0,4.494,0.06,-0.066,0.874,0.072,-0.059,0.87,0.05,-0.041,0.015
8826168,CONFIRMED,11.55103848,134.90803,2454967.908,0.493,0.427,-0.292,3.3601,0.059,-0.059,403.0,9.2,-9.2,0.018791,0.00352,-0.000481,1.82309,1.00766,-0.04852,2.17,0.34,-0.2,0.1005,88.79,845.0,120.76,52.67,-28.79,23.43,6.5,-6.5,0.2868,0.3588,6.9801226,40.4234,49.8,1,116.0,0.4981,5907.0,105.0,-117.0,4.395,0.08,-0.12,1.058,0.166,-0.097,1.014,0.074,-0.067,0.003
10464050,CONFIRMED,4.469754641,131.84402,2454964.844,0.494,0.413,-0.295,1.813,0.0503,-0.0503,554.0,17.7,-17.7,0.022136,0.000199,-0.000902,4.5461,2.83337,-0.2045,2.26,0.67,-0.23,0.0535,88.32,1103.0,350.69,308.11,-101.97,16.87,5.3,-5.3,0.2889,0.3511,5.920085,40.748875,37.1,1,304.0,0.0943,5988.0,161.0,-197.0,4.507,0.05,-0.2,0.934,0.28,-0.093,1.021,0.119,-0.145,0.057
9763348,CONFIRMED,15.77382794,137.53051,2454970.531,0.035,0.419,-0.035,4.957,0.115,-0.115,314.0,12.1,-12.1,0.016277,0.000585,-0.000394,1.14507,0.08254,-0.40825,2.72,0.52,-0.51,0.1291,89.92,955.0,196.14,104.29,-76.29,24.7,1.8,-1.8,0.303,0.3166,5.981702,34.133038,30.4,1,86.0,0.0233,6283.0,126.0,-113.0,4.129,0.168,-0.112,1.531,0.29,-0.29,1.15,0.135,-0.09,0.43
9101496,CONFIRMED,6.56226483,132.61123,2454965.611,0.643,0.009,-0.484,4.0144,0.0694,-0.0694,261.0,7.2,-7.2,0.01552,0.00179,-0.000789,0.41998,0.45456,-0.02733,3.07,0.48,-0.77,0.0732,86.26,1290.0,654.67,290.44,-316.87,9.85,3.6,-3.6,0.2865,0.3671,5.451816,33.815254,41.2,2,203.0,0.7164,5878.0,117.0,-117.0,4.005,0.196,-0.084,1.812,0.281,-0.457,1.212,0.133,-0.133,0.763
6037581,CONFIRMED,20.67876365,151.69245,2454984.692,0.665,0.297,-0.451,4.6395,0.085,-0.085,324.0,7.9,-7.9,0.017394,0.0043,-0.000944,0.79795,0.98968,-0.08727,2.42,0.4,-0.41,0.1518,88.55,749.0,74.36,34.44,-26.81,26.2,10.8,-10.8,0.2555,0.4191,5.9633765,26.140358,42.6,3,64.0,0.3303,5865.0,105.0,-117.0,4.266,0.137,-0.112,1.272,0.213,-0.213,1.088,0.089,-0.089,
10723750,CONFIRMED,50.79034648,135.632759,2454968.633,0.058,0.076,-0.058,10.8474,0.0138,-0.0138,5670.0,11.9,-11.9,0.069067,0.000142,-9.9e-05,0.40843,0.00275,-0.01156,10.6,1.91,-1.9,0.2776,89.91,612.0,33.12,16.79,-12.57,38.189,0.257,-0.257,0.303,0.3166,91.49705,376.44238,508.8,2,29.0,0.8965,6163.0,123.0,-123.0,4.185,0.154,-0.112,1.406,0.253,-0.253,1.102,0.122,-0.081,0.062
6037581,CONFIRMED,9.59993246,136.58227,2454969.582,0.063,0.362,-0.063,4.3206,0.0549,-0.0549,271.0,5.5,-5.5,0.014963,0.000395,-0.000212,1.04528,0.06202,-0.27675,2.08,0.35,-0.35,0.091,89.79,967.0,206.91,95.83,-74.6,17.2,1.0,-1.0,0.2555,0.4191,5.2048445,32.263363,52.0,3,142.0,0.8008,5865.0,105.0,-117.0,4.266,0.137,-0.112,1.272,0.213,-0.213,1.088,0.089,-0.089,
6037581,CONFIRMED,2.0248205,132.35465,2454965.355,0.248,0.22,-0.248,2.55,0.118,-0.118,63.3,3.5,-3.5,0.007277,0.000266,-0.000304,0.97398,0.10188,-0.43104,1.01,0.17,-0.17,0.0322,87.61,1625.0,1652.5,765.44,-595.79,5.954,0.623,-0.623,0.2555,0.4191,4.208786,16.003586,20.2,3,621.0,0.9686,5865.0,105.0,-117.0,4.266,0.137,-0.112,1.272,0.213,-0.213,1.088,0.089,-0.089,
10779233,CONFIRMED,201.118319,187.56986,2455020.57,0.001,0.417,-0.001,10.328,0.165,-0.165,585.0,19.2,-19.2,0.021853,0.000775,-0.00036,1.6429,0.02463,-0.55344,2.28,0.32,-0.2,0.6559,90.0,300.0,1.92,0.77,-0.44,152.01,2.3,-2.3,0.2622,0.4035,10.35031,21.656965,34.7,1,7.0,0.4296,5646.0,101.0,-112.0,4.447,0.072,-0.108,0.954,0.135,-0.083,0.929,0.066,-0.053,0.787
11614617,CONFIRMED,24.7577652,142.06826,2454975.068,0.896,0.025,-0.619,6.998,0.13,-0.13,459.0,13.8,-13.8,0.023093,0.000596,-0.00341,0.07423,0.55974,-0.02165,2.44,0.71,-0.24,0.1688,86.17,644.0,40.74,35.18,-11.73,13.4,6.3,-6.3,0.2916,0.3447,7.0413713,31.792923,37.6,1,55.0,0.2426,6106.0,163.0,-199.0,4.487,0.048,-0.192,0.966,0.285,-0.095,1.043,0.141,-0.128,0.548
11450414,CONFIRMED,12.7983174,133.64979,2454966.65,0.738,0.158,-0.518,6.401,0.116,-0.116,337.0,9.7,-9.7,0.01815,0.00175,-0.00147,0.14332,0.25015,-0.00957,2.88,0.41,-0.68,0.1072,86.06,908.0,160.33,61.54,-71.6,10.75,4.7,-4.7,0.2286,0.4641,5.885593,31.15827,38.2,3,107.0,0.5003,5592.0,75.0,-75.0,4.115,0.195,-0.09,1.451,0.211,-0.342,1.0,0.072,-0.072,0.862
4736569,CONFIRMED,10.13200555,132.91155,2454965.912,0.03,0.399,-0.03,3.1683,0.0689,-0.0689,912.0,26.8,-26.8,0.02728,0.00092,-0.000543,2.91174,0.20041,-0.89545,1.67,0.11,-0.11,0.0756,89.93,574.0,25.66,7.91,-6.31,25.09,1.7,-1.7,0.1941,0.5188,5.9245596,31.41136,37.6,2,116.0,0.9844,4777.0,167.0,-167.0,4.689,0.048,-0.032,0.561,0.038,-0.038,0.561,0.047,-0.024,0.0
10384798,CONFIRMED,38.505224,158.30491,2454991.305,0.654,0.003,-0.506,5.941,0.104,-0.104,695.0,22.4,-22.4,0.025468,0.00367,-0.00124,0.76267,0.85,-0.04729,2.45,0.68,-0.24,0.2159,89.04,532.0,18.98,15.38,-5.16,39.1,14.5,-14.5,0.2979,0.3238,8.394553,28.735064,35.5,1,36.0,0.0424,5974.0,161.0,-161.0,4.504,0.062,-0.188,0.881,0.243,-0.087,0.904,0.11,-0.1,0.0
2307415,CONFIRMED,4.6126736,132.7757,2454965.776,0.755,0.025,-0.535,3.0643,0.0681,-0.0681,133.0,4.3,-4.3,0.011477,0.00126,-0.000901,0.42038,0.81958,-0.07526,1.6,0.29,-0.24,0.0559,84.44,1294.0,663.8,336.98,-222.14,7.79,3.8,-3.8,0.3029,0.3239,5.7404814,28.70658,34.3,2,293.0,0.1091,6140.0,123.0,-135.0,4.265,0.125,-0.125,1.277,0.23,-0.188,1.094,0.103,-0.075,0.037
3128552,CONFIRMED,8.67890312,133.03651,2454966.037,0.203,0.229,-0.203,3.5317,0.0685,-0.0685,541.0,15.2,-15.2,0.021018,0.000627,-0.000472,1.66733,0.13632,-0.55568,2.56,0.39,-0.43,0.0805,89.38,905.0,158.43,64.4,-54.2,18.79,1.5,-1.5,0.224,0.4695,5.497077,29.641619,37.4,4,126.0,0.0335,5509.0,82.0,-74.0,4.308,0.156,-0.104,1.116,0.169,-0.186,0.924,0.062,-0.043,0.31
10134152,CONFIRMED,39.3135699,154.93767,2454987.938,0.006,0.4,-0.006,5.0137,0.0903,-0.0903,500.0,16.9,-16.9,0.020516,0.000626,-0.00036,2.79643,0.15601,-0.74281,2.07,0.59,-0.19,0.227,89.99,540.0,20.04,16.66,-5.47,61.13,3.4,-3.4,0.2916,0.3447,8.180487,25.298313,33.8,1,33.0,0.8941,6060.0,163.0,-181.0,4.509,0.048,-0.192,0.925,0.262,-0.087,1.008,0.117,-0.13,0.184
9573685,CONFIRMED,5.94565516,133.99359,2454966.994,0.229,0.228,-0.229,2.1604,0.0711,-0.0711,401.0,16.6,-16.6,0.018129,0.000731,-0.000472,4.86272,0.98423,-1.52856,1.12,0.06,-0.07,0.0536,89.37,568.0,24.71,4.95,-4.57,20.87,4.2,-4.2,0.2238,0.5081,4.6647468,26.828835,28.5,1,227.0,0.2667,3974.0,79.0,-79.0,4.7,0.027,-0.027,0.564,0.03,-0.034,0.581,0.032,-0.035,0.107
10329835,CONFIRMED,1.52373073,131.61813,2454964.618,0.942,0.058,-0.679,1.4796,0.0342,-0.0342,365.0,13.1,-13.1,0.022705,0.00153,-0.00535,0.28756,5.56262,-0.36312,1.26,0.09,-0.12,0.0208,73.31,818.0,105.95,24.06,-27.15,3.28,1.6,-1.6,0.3037,0.4224,3.7324114,26.808985,34.1,1,881.0,0.7632,3746.0,75.0,-83.0,4.736,0.053,-0.025,0.51,0.033,-0.05,0.516,0.038,-0.042,0.0
6849046,CONFIRMED,4.225384543,137.5606891,2454970.561,0.074,0.08,-0.051,2.82038,0.00192,-0.00192,7560.0,6.0,-6.0,0.078185,0.000381,-4.7e-05,1.98451,0.01385,-0.09233,9.0,1.42,-0.77,0.0516,89.66,1111.0,360.46,158.93,-82.24,12.3266,0.086,-0.086,0.2111,0.4955,116.94335,1401.7281,1457.8,1,313.0,0.8434,5574.0,100.0,-111.0,4.403,0.08,-0.12,1.054,0.167,-0.09,1.025,0.057,-0.057,
8804397,CONFIRMED,60.0853848,153.25707,2454986.257,0.79,0.131,-0.535,7.007,0.116,-0.116,432.0,9.6,-9.6,0.020987,0.000244,-0.00188,0.39852,0.98738,-0.11789,2.4,0.43,-0.12,0.3148,88.93,485.0,13.07,6.51,-2.24,42.4,21.0,-21.0,0.2826,0.3729,11.139173,39.420227,51.7,1,19.0,0.9897,6028.0,107.0,-131.0,4.459,0.024,-0.136,1.047,0.19,-0.051,1.149,0.063,-0.086,0.0
9662811,CONFIRMED,43.0343364,137.69007,2454970.69,0.882,0.036,-0.611,6.571,0.135,-0.135,542.0,12.2,-12.2,0.025125,0.00171,-0.0036,0.18252,1.15436,-0.07178,2.5,0.3,-0.18,0.2327,88.07,484.0,13.01,4.67,-2.63,26.1,12.7,-12.7,0.2327,0.4526,11.465475,37.634098,50.0,1,27.0,0.9436,5550.0,110.0,-110.0,4.476,0.064,-0.096,0.911,0.11,-0.064,0.906,0.055,-0.055,0.101
11570749,CANDIDATE,46.2991052,155.80223,2454988.802,0.025,0.37,-0.025,5.2481,0.061,-0.061,855.0,17.9,-17.9,0.026296,0.000729,-0.000335,2.91812,0.07419,-0.75503,4.33,1.59,-1.94,0.2436,89.98,592.0,29.04,31.95,-21.12,69.15,1.8,-1.8,0.2427,0.4368,10.634604,34.45179,55.0,1,31.0,0.8535,5396.0,160.0,-144.0,4.035,0.504,-0.216,1.507,0.553,-0.676,0.898,0.088,-0.097,0.717
11297236,CONFIRMED,88.6440015,145.47193,2454978.472,0.724,0.003,-0.539,7.82,0.111,-0.111,626.0,12.2,-12.2,0.024607,0.00198,-0.00176,0.59555,0.87651,-0.28723,2.51,0.33,-0.19,0.3815,89.34,391.0,5.51,2.08,-1.18,62.8,30.8,-30.8,0.2622,0.4035,14.281977,38.35715,57.6,1,15.0,0.4822,5661.0,101.0,-112.0,4.471,0.056,-0.112,0.934,0.124,-0.072,0.941,0.057,-0.063,0.059
10074466,CONFIRMED,35.01190875,150.37126,2454983.371,0.927,0.02,-0.736,2.868,0.0684,-0.0684,437.0,14.5,-14.5,0.023595,0.000528,-0.00428,1.02226,15.62247,-0.31652,2.97,0.48,-0.35,0.2124,88.69,603.0,31.35,12.92,-8.2,40.5,19.9,-19.9,0.2602,0.4096,7.4211526,27.80376,34.0,1,39.0,0.842,5872.0,70.0,-79.0,4.332,0.103,-0.115,1.153,0.185,-0.135,1.041,0.082,-0.059,0.028
8218379,CONFIRMED,16.57099265,133.90704,2454966.907,0.55,0.338,-0.348,2.9052,0.0575,-0.0575,645.0,16.9,-16.9,0.023913,0.00329,-0.000883,3.6704,2.51542,-0.23821,2.03,0.43,-0.15,0.121,89.16,614.0,33.53,21.82,-7.88,37.6,12.9,-12.9,0.2434,0.4341,6.27216,33.874874,40.9,2,78.0,0.6192,5483.0,166.0,-149.0,4.589,0.034,-0.136,0.779,0.164,-0.059,0.865,0.083,-0.102,0.131
7755636,CONFIRMED,16.00496657,135.25305,2454968.253,0.013,0.426,-0.012,6.5047,0.0847,-0.0847,378.0,9.0,-9.0,0.017862,0.000485,-0.000254,0.51784,0.00021,-0.19922,3.71,0.76,-1.04,0.1396,89.96,1040.0,276.53,142.05,-141.18,19.14032,0.00776,-0.00776,0.3168,0.2958,5.9957867,34.956825,49.8,1,84.0,0.8718,6384.0,70.0,-89.0,4.029,0.24,-0.129,1.904,0.388,-0.534,1.412,0.134,-0.201,0.101
9411166,CONFIRMED,1.954525966,132.29679,2454965.297,0.673,0.237,-0.455,2.0944,0.0457,-0.0457,393.0,10.2,-10.2,0.019224,0.00272,-0.00115,0.8297,0.92881,-0.55297,2.38,0.38,-0.3,0.0307,82.98,1540.0,1331.18,553.07,-375.27,5.51,2.1,-2.1,0.2555,0.4191,5.1833353,35.474197,43.1,3,687.0,0.661,5741.0,77.0,-77.0,4.331,0.115,-0.115,1.136,0.18,-0.147,1.01,0.073,-0.061,0.625
4989057,CONFIRMED,7.23400381,137.67742,2454970.677,0.032,0.426,-0.032,2.165,0.0587,-0.0587,453.0,15.7,-15.7,0.019155,0.000805,-0.000391,6.3602,0.5909,-2.24889,1.78,0.19,-0.1,0.0702,89.93,831.0,112.48,36.61,-19.34,26.01,2.4,-2.4,0.2327,0.4526,4.9379325,30.212036,34.3,1,141.0,0.604,5411.0,107.0,-107.0,4.523,0.042,-0.084,0.85,0.091,-0.045,0.879,0.049,-0.054,0.159
9834040,CONFIRMED,6.77408984,135.95524,2454968.955,0.026,0.402,-0.026,2.6215,0.0634,-0.0634,520.0,18.3,-18.3,0.020933,0.000686,-0.000489,3.37561,0.19294,-1.14784,2.5,0.75,-0.33,0.0741,89.92,1058.0,295.82,263.29,-103.88,20.16,1.2,-1.2,0.3024,0.3288,5.4710145,28.430346,33.6,1,198.0,0.9972,6246.0,174.0,-239.0,4.433,0.052,-0.208,1.092,0.329,-0.141,1.18,0.141,-0.173,0.678
6152974,CONFIRMED,20.17202467,141.209182,2454974.209,0.334,0.148,-0.224,3.1488,0.0248,-0.0248,5370.0,26.2,-26.2,0.066137,0.000106,-0.00145,5.65507,1.09964,-0.30329,6.24,0.27,-0.55,0.1353,89.61,564.0,24.0,3.92,-5.19,49.55,9.6,-9.6,0.1451,0.582,37.637707,198.6218,226.8,2,65.0,0.2144,5064.0,83.0,-75.0,4.474,0.09,-0.03,0.864,0.038,-0.076,0.811,0.052,-0.03,0.0
